name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms)
東中間,33.820019,130.721317,heat,1381.377,20.45999,20時間27分36秒
筑豊中間,33.816647,130.716562,heat,1381.944,20.46037,20時間27分37秒
希望が丘高校前,33.808681,130.71151,heat,1382.927,20.46102,20時間27分40秒
筑豊香月,33.799502,130.719099,heat,1383.284,20.46126,20時間27分41秒
楠橋,33.789259,130.724523,heat,1383.859,20.46164,20時間27分42秒
新木屋瀬,33.783468,130.724493,heat,1384.364,20.46197,20時間27分43秒
木屋瀬,33.778483,130.724957,cool,1384.770,20.46224,20時間27分44秒
遠賀野,33.768628,130.730959,cool,1385.279,20.46257,20時間27分45秒
感田,33.758799,130.733137,cool,1386.008,20.46305,20時間27分47秒
筑豊直方,33.753499,130.726299,cool,1386.863,20.46360,20時間27分49秒
三代橋,33.188949,129.866336,cool,1485.767,20.49942,20時間29分58秒
黒川(佐賀),33.195093,129.85542,cool,1485.876,20.49943,20時間29分58秒
蔵宿,33.201898,129.850559,cool,1485.573,20.49941,20時間29分58秒
西有田,33.208839,129.8502,cool,1484.995,20.49936,20時間29分58秒
大木,33.221615,129.850119,cool,1483.898,20.49926,20時間29分57秒
山谷,33.2293,129.849353,cool,1483.280,20.49920,20時間29分57秒
夫婦石,33.236927,129.850502,cool,1482.555,20.49913,20時間29分57秒
金武,33.251856,129.854519,cool,1481.032,20.49898,20時間29分56秒
川東(佐賀),33.267329,129.863812,cool,1479.153,20.49876,20時間29分56秒
東山代,33.277964,129.846041,heat,1479.282,20.49878,20時間29分56秒
里,33.284513,129.835906,heat,1479.316,20.49878,20時間29分56秒
楠久,33.291426,129.826696,heat,1479.264,20.49878,20時間29分56秒
鳴石,33.299447,129.816699,heat,1479.164,20.49876,20時間29分56秒
久原,33.313973,129.811763,eco,1478.208,20.49865,20時間29分55秒
波瀬,33.323013,129.807296,eco,1477.696,20.49858,20時間29分55秒
浦ノ崎,33.335287,129.792524,eco,1477.517,20.49856,20時間29分55秒
福島口,33.338083,129.790271,eco,1477.410,20.49855,20時間29分55秒
今福,33.348357,129.771909,cool,1477.617,20.49857,20時間29分55秒
鷹島口,33.353784,129.761685,cool,1477.759,20.49859,20時間29分55秒
前浜,33.358819,129.736192,cool,1478.841,20.49873,20時間29分55秒
調川,33.352223,129.727507,cool,1479.921,20.49885,20時間29分56秒
松浦,33.344273,129.707906,cool,1481.764,20.49905,20時間29分57秒
松浦発電所前,33.347361,129.68607,cool,1482.799,20.49916,20時間29分57秒
御厨(長崎),33.365947,129.662502,cool,1482.616,20.49914,20時間29分57秒
西木場,33.355798,129.638657,cool,1484.903,20.49935,20時間29分58秒
東田平,33.357706,129.623147,cool,1485.665,20.49941,20時間29分58秒
中田平,33.355647,129.61104,cool,1486.564,20.49949,20時間29分58秒
たびら平戸口,33.362532,129.582595,cool,1487.677,20.49957,20時間29分58秒
西田平,33.34514,129.590475,cool,1488.686,20.49964,20時間29分59秒
すえたちばな,33.316738,129.613788,cool,1489.716,20.49970,20時間29分59秒
江迎鹿町,33.306809,129.627081,cool,1489.772,20.49970,20時間29分59秒
高岩(長崎),33.297507,129.63723,cool,1489.963,20.49971,20時間29分59秒
いのつき,33.282623,129.667286,cool,1489.449,20.49968,20時間29分59秒
潜竜ヶ滝,33.280808,129.683509,cool,1488.642,20.49963,20時間29分59秒
吉井(長崎),33.266395,129.685271,cool,1489.772,20.49970,20時間29分59秒
神田(長崎),33.261198,129.671059,cool,1491.060,20.49977,20時間29分59秒
清峰高校前,33.247775,129.656536,cool,1493.070,20.49986,20時間30分0秒
佐々,33.236701,129.646859,cool,1494.593,20.49992,20時間30分0秒
小浦,33.222005,129.641643,eco,1496.161,20.49996,20時間30分0秒
真申,33.206498,129.65146,eco,1496.909,20.49997,20時間30分0秒
棚方,33.201565,129.651796,eco,1497.313,20.49998,20時間30分0秒
相浦,33.192577,129.65714,eco,1497.768,20.49999,20時間30分0秒
大学,33.189461,129.667187,eco,1497.441,20.49998,20時間30分0秒
上相浦,33.195205,129.670453,eco,1496.755,20.49997,20時間30分0秒
本山(長崎),33.207029,129.682099,eco,1495.051,20.49993,20時間30分0秒
中里(長崎),33.20821,129.687448,eco,1494.634,20.49992,20時間30分0秒
